연번, 시설명, 시설종류, 지정일자, 주소,위도,경도, 전화번호, 정원(명)
165,수 재가복지센터,재가노인복지시설,2024-05-01,"인천광역시 미추홀구 재넘이길9번길 61, 1층 (학익동)",37.4446338,126.6648821,032-710-3652,재가서비스
166,백세재가복지센터,재가노인복지시설,2024-05-01,"인천광역시 미추홀구 인주대로408번길 16, 1층 (주안동)",37.45042534,126.6816113,032-244-1003,재가서비스
167,경인실버복지센터,재가노인복지시설,2024-05-01,"인천광역시 미추홀구 소성로350번길 53, 1층 (문학동)",37.43491878,126.6859318,032-721-3855,재가서비스
168,우슬재가노인복지센터,재가노인복지시설,2024-05-01,"인천광역시 미추홀구 미추홀대로586번길 51, 1층 (주안동)",37.4494451,126.682773,032-426-0929,재가서비스
169,좋은 이웃 재가 복지센터,재가노인복지시설,2024-05-01,"인천광역시 미추홀구 매소홀로561번길 3-21, 102호 (문학동)",37.43917286,126.6840874,032-422-0882,재가서비스
170,학익주야간보호센터,재가노인복지시설,2024-06-01,"인천광역시 미추홀구 학익소로23번길 1, 2층 (학익동)",37.44526712,126.6694258,032-866-3310,35
171,경인노인주야간보호센터,재가노인복지시설,2024-06-01,"인천광역시 미추홀구 석정로 411, 5층 (주안동)",37.46693467,126.6813625,032-868-9998,34
172,이레재가복지센터,재가노인복지시설,2024-06-01,"인천광역시 미추홀구 경원대로 882, 205호 (주안동)",37.46132153,126.6899169,032-876-9955,재가서비스
173,온케어 재가복지센터,재가노인복지시설,2024-07-01,"인천광역시 미추홀구 능해길 12, 205호 (용현동)",37.45932019,126.6383925,032-891-6958,재가서비스
174,힘찬재활주간보호센터,재가노인복지시설,2024-07-01,"인천광역시 미추홀구 주안로 115, 5층 (주안동)",37.46422654,126.6825809,032-426-2801,54
175,봄날 복지용구,재가노인복지시설,2024-07-01,"인천광역시 미추홀구 낙섬중로 68, 102호 (용현동)",37.45380291,126.6393195,032-710-1350,복지용구사업소
176,푸름재가노인복지센터,재가노인복지시설,2024-08-01,"인천광역시 미추홀구 인주대로251번길 76-3, 1층 101호 (주안동, 삼성탑스빌)",37.45463847,126.6681197,032-873-5300,재가서비스
177,대한어머니회재가노인지원서비스센터,재가노인복지시설,2008-05-29,인천광역시 미추홀구 매소홀로386번길 32 (학익동),37.438773,126.664549,032-868-9207,재가서비스
178,미추홀구 구립 치매전담형 주간보호센터 미추홀돌봄의집,재가노인복지시설,2022-08-01,"인천광역시 미추홀구 독배로 443, 2층 280호 (숭의동, 삼화복합빌딩)",37.464582,126.658705,032-883-0310,48
179,그린 재가노인복지센터,재가노인복지시설,2022-11-01,"인천광역시 미추홀구 경인로34번길 20, 6~7층 (숭의동)",37.46313,126.647322,032-221-0905,재가서비스
180,카네이션재가복지센터 (주)카네이션토탈케어,재가노인복지시설,2024-01-01,인천광역시 미추홀구 주승로 129 (주안동),37.445996,126.684765,032-425-0707,재가서비스
181,소리노인장기요양기관,재가노인복지시설,2024-09-01,"인천광역시 미추홀구 구월로 17, 8층 (주안동)",37.45836,126.692162,032-887-8852,재가서비스
182,늘곁에방문요양센터,재가노인복지시설,2024-09-01,인천광역시 미추홀구 경인로 313-1 (도화동),37.459841,126.675483,032-227-1919,재가서비스
183,인천광역시 사회서비스원 미추홀종합재가센터,재가노인복지시설,2024-09-01,"인천광역시 미추홀구 경인로 221, 101동 102호 (도화동, 나산아파트)",37.465206,126.667136,032-715-4974,재가서비스
184,미추홀재활장기요양기관,재가노인복지시설,2024-10-01,"인천광역시 미추홀구 소성로 329, 2층 202호 (문학동, 경진상가주택)",37.437815,126.683976,032-433-3457,9
185,함께가는재가복지센터,재가노인복지시설,2024-10-01,"인천광역시 미추홀구 미추홀대로614번길 3, 5층 (주안동, 씨티프라자)",37.452445,126.680185,032-872-1979,재가서비스
186,늘푸른재가복지센터,재가노인복지시설,2024-12-01,"인천광역시 미추홀구 신기길58번길 36, 1층 (주안동)",37.445792,126.674726,032-872-7687,재가서비스
187,평안재가복지센터,재가노인복지시설,2024-12-01,"인천광역시 미추홀구 미추홀대로 516, 2층 201호 (주안동)",37.443469,126.679238,032-428-5553,재가서비스
188,햇살노인복지센터,재가노인복지시설,2024-12-01,"인천광역시 미추홀구 한나루로 548-1, A동 1층 (주안동)",37.455497,126.670188,032-772-0116,재가서비스
189,365인천노인주야간보호센터,재가노인복지시설,2024-12-01,"인천광역시 미추홀구 미추로 62, 3층 (숭의동)",37.46559,126.645932,032-427-0365,58
190,사미노인복지센터,재가노인복지시설,2024-12-01,인천광역시 미추홀구 한나루로490번길 85 (주안동),37.450523,126.672082,032-868-8151,재가서비스
191,비타민재가방문요양센터,재가노인복지시설,2025-01-01,"인천광역시 미추홀구 매소홀로 262, 15002호 (학익동)",37.444443,126.652395,032-858-4331,재가서비스
192,봄날재가복지센터,재가노인복지시설,2025-02-01,"인천광역시 미추홀구 소성로 173, 203호 (학익동)",37.441952,126.667779,032-241-8892,재가서비스
193,좋은방문요양복지센터,재가노인복지시설,2025-02-01,"인천광역시 미추홀구 매소홀로535번길 8-1, 102호 (문학동)",37.439382,126.68138,070-4647-3279,재가서비스
194,삼성한가족복지센터,재가노인복지시설,2025-04-01,인천광역시 미추홀구 한나루로501번길 15 (용현동),37.451983,126.666376,032-866-1977,재가서비스
195,온누리참빛종합재가노인복지센터,재가노인복지시설,2025-04-01,"인천광역시 미추홀구 경인로 120, 2층 19-1호 (숭의동)",37.460793,126.658197,032-432-5107,재가서비스
196,다조아플러스노인복지센터,재가노인복지시설,2025-04-01,"인천광역시 미추홀구 인주대로 405-1, 2층 (주안동)",37.451679,126.681714,,재가서비스
197,다온노인재가복지센터,재가노인복지시설,2025-05-01,인천광역시 미추홀구 인하로 385 (주안동),37.448502,126.691224,032-423-5274,재가서비스
198,온유재가노인복지센터,재가노인복지시설,2025-05-01,인천광역시 미추홀구 인하로367번길 16 (주안동),37.449158,126.689347,032-874-1575,재가서비스
199,행복플러스방문요양센터,재가노인복지시설,2025-05-01,"인천광역시 미추홀구 독배로 494, 2~3층 (숭의동)",37.46195,126.644321,032-888-0045,재가서비스
200,가족사랑재가노인복지센터,재가노인복지시설,2025-05-01,"인천광역시 미추홀구 연송로86번길 64-14, 102호 (도화동)",37.478034,126.655216,032-889-2928,재가서비스
201,좋은아침복지용구,재가노인복지시설,2025-05-01,"인천광역시 미추홀구 연송로 59, 1층 1호 (도화동)",37.477723,126.656611,,복지용구사업소
202,케어닥 방문요양돌봄센터 주안파트너점,재가노인복지시설,2025-06-01,"인천광역시 미추홀구 인주대로 93-63, 202호 (용현동)",37.457836,126.647666,032-863-8630,재가서비스
203,한결재가복지센터,재가노인복지시설,2025-06-01,"인천광역시 미추홀구 구월로19번길 6-37, 가동 5호 (주안동, 한성상가)",37.458236,126.693744,032-422-0810,재가서비스
204,이레재가노인복지센터,재가노인복지시설,2025-06-01,"인천광역시 미추홀구 학익소로 55, 2층 202호 (학익동, 청솔빌딩)",37.442943,126.670564,032-887-8583,재가서비스
205,케어네이션 방문요양센터 인천 미추홀점,재가노인복지시설,2025-06-01,"인천광역시 미추홀구 주승로 22, 101-5,6호 (학익동)",37.443862,126.672927,032-432-9748,재가서비스
206,지팡이돌봄복지센터,재가노인복지시설,2025-06-01,"인천광역시 미추홀구 석정로 409, 202호 (주안동, 동아프라자)",37.467326,126.680969,032-433-8383,재가서비스
207,반석방문요양센터,재가노인복지시설,2025-06-01,"인천광역시 미추홀구 인하로 446, 1층 101호 (관교동, 삼환아파트 상가동)",37.443914,126.695698,032-888-2307,재가서비스
208,연사랑노인복지센터,재가노인복지시설,2025-06-01,"인천광역시 미추홀구 석정로 303, 1층 2호 (도화동)",37.46835,126.669356,032-428-2290,재가서비스
