연번,관련 근거법,시설종류,시설형태,시설명,군구명,주소,연락처
253,노인복지법,노인대학(노인교실),이용 ,아름다운노인대학,남동구 ,장승남로 16,032-471-8901
254,노인복지법,노인대학(노인교실),이용 ,논현노인대학,남동구 ,포구로 70,032-446-6264
255,노인복지법,노인대학(노인교실),이용,청춘대학,남동구,경신상로 76,032-422-0922
256,노인복지법,노인대학(노인교실),이용,대한노인회부평구지회부설 노인대학,부평구,굴포로 114,032-503-1035
257,노인복지법,노인대학(노인교실),이용,부광노인대학,부평구,부평대로 63번길 5,032-527-5704
258,노인복지법,노인대학(노인교실),이용,행복한 실버대학,부평구,송내대로373번길 28,032-654-3456
259,노인복지법,노인대학(노인교실),이용,제일노인대학,부평구,부평문화로197번길 40,032-508-1255
260,노인복지법,노인대학(노인교실),이용,대한노인회 계양구지회 부설노인대학,계양구,효서로341번길 11,032-546-2923
261,노인복지법,노인대학(노인교실),이용,효성영광노인대학,계양구,봉오대로543번길 4,032-547-0003
262,노인복지법,노인대학(노인교실),이용,샛별대학,계양구,안남로490번길 11,032-554-1741
263,노인복지법,노인대학(노인교실),이용,노인행복지원센터,계양구,황어로134번길 28,070-7834-1346
264,노인복지법,노인대학(노인교실),이용,서구노인대학,서구,신석로121번길 10(석남동),032-572-1460
265,노인복지법,노인대학(노인교실),이용,해바라기노인대학,서구,열우물로 247(가좌동),032-581-4043
266,노인복지법,노인보호전문기관,이용,인천광역시노인보호전문기관,남동구,용천로 208,032-426-8792
267,노인복지법,학대피해노인전용쉼터,생활,인천광역시학대피해노인전용쉼터,남동구,비공개, 
268,노인복지법,노인보호전문기관,이용,인천서부노인보호전문기관,서구,"완정로165번안길12, 2층",032-569-0533
269,노인복지법,재가노인복지시설,이용,중구재가노인지원서비스센터,중구,인천 중구 우현로 3(사동),032-764-5221
270,노인복지법,재가노인복지시설,이용,성언의집재가노인지원서비스센터,동구,화도진로 79번길 10,032-772-1664
271,노인복지법,재가노인복지시설,이용,대한어머니회재가노인지원서비스센터,미추홀구,"독배로 443, 2층 280호(숭의동, 삼화복합빌딩)",032-868-9207
272,노인복지법,재가노인복지시설,이용,인천재가노인지원서비스센터,미추홀구,매소홀로386번길 32(학익동),032-872-9088
273,노인복지법,재가노인복지시설,이용,미추홀재가노인지원서비스센터,미추홀구,염창로 97(주안동),032-876-8182
274,노인복지법,재가노인복지시설,이용,연수구재가노인복지센터,연수구,함박뫼로 194,032-811-1230
275,노인복지법,재가노인복지시설,이용,남동재가노인지원서비스센터,남동구,"구월말로 120번길22, 만수빌딩2층",032-465-3654
276,노인복지법,재가노인복지시설,이용,부평재가노인지원서비스센터,부평구,경인로749,032-433-6151
277,노인복지법,재가노인복지시설,이용,계양재가노인지원서비스센터,계양구,아나지로 517 (서운동),032-556-0005
278,노인복지법,재가노인복지시설,이용,구립계산노인복지센터,계양구,계양구 경명대로 980 (계산동),032-556-5627
279,노인복지법,재가노인복지시설,이용,계양푸른빛재가노인지원서비스센터,계양구,"계양구 경명대로 1138, 302호(계산동)",032-552-3080
280,노인복지법,재가노인복지시설,이용,다사랑재가노인지원서비스센터,계양구,"경명대로 1077, 5층(계산동)",032-554-8274
281,노인복지법,재가노인복지시설,이용,태화인천재가노인지원서비스센터,서구,"심곡로124번길 10, 3층 (심곡동)",032-568-3206
282,노인복지법,재가노인복지시설,이용,성광재가노인지원서비스센터,서구,가정로 126번길 23(가좌동),032-577-1590
283,노인복지법,재가노인복지시설,이용,성모재가노인지원서비스센터,서구,"탁옥로 105, 301호 (심곡동, 메인프라자3차)",032-569-6796
284,노인복지법,재가노인복지시설,이용,서구재가노인지원서비스센터,서구,신석로121번길 10 (석남동),032-582-4074
285,노인복지법,재가노인복지시설,이용,강화노인복지센터,강화군,선원면 시리미로225번길 3-27,032-933-5822
286,노인복지법,재가노인복지시설,이용,안젤로재가노인지원서비스센터,강화군,선원면 시리미로42번길 8,032-933-0880
287,노인복지법,재가노인복지시설,이용,옹진재가노인지원서비스센터,옹진군,영흥로 335,032-882-4395
288,노인복지법,노인주거복지시설,생활,평복영락양로원,연수구,청량로 51(동춘동),032-831-6075
289,노인복지법,노인주거복지시설,생활,소망의집,남동구,논현고잔로88번길 35 (고잔동),032-446-8965
290,노인복지법,노인주거복지시설,생활,협성양로원,부평구,화랑로 65(산곡동),032-518-9365
291,노인복지법,노인의료복지+주거복지,생활,사할린동포복지회관,연수구,원인재로 263(연수동),032-812-7111
292,노인복지법,노인주거복지시설,생활,요셉의집,부평구,장제로 372(삼산동),032-526-8615
293,노인복지법,노인주거복지시설,생활,평화의 집,강화군,불은면 강화동로 637,032-937-9257
294,노인복지법,노인주거복지시설,생활,형제나사로의 집,강화군,송해면 전망대로 255-12,032-932-1490
295,노인복지법,노인주거복지시설,생활,예향원,서구,세자봉로76번길 11 (금곡동),032-567-5615
296,노인복지법,노인주거복지시설,생활,나솔채양로원,계양구,솔고개길 19(박촌동),032-515-9120
297,노인복지법,노인주거복지시설,생활,노틀담사랑터,계양구,장제로920번길 27(병방동),032-541-6868
298,노인복지법,노인주거복지시설,생활,마리스텔라,서구,심곡로100번길 31(심곡동),032-280-1500
299,노인복지법,노인주거복지시설,생활,청라백세마을,서구,로봇랜드로249번길 14 (경서동),070-4470-3999
300,노인복지법,노인주거복지시설,생활,백향그린실버타운,강화군,길상면 길상로304번길 49-20,032-937-9954
301,노인복지법,노인주거복지시설,생활,이레홈타운,강화군,양도면 강화남로 1077-39,032-937-9387
302,노인복지법,노인주거복지시설,생활,푸른마을실비양로원,강화군,강화읍 용정리 865번지 2호,032-932-3155
303,노인복지법,노인주거복지시설,생활,영화복지타운,강화군,불은면 강화동로 262,032-933-2253
304,노인복지법,노인주거복지시설,생활,우주실버타운,옹진군,영흥면 영흥남로 15-20,032-880-1734
305,노인복지법,노인주거복지시설,생활,더시그넘하우스청라,서구,담지로 60(청라동),032-561-0120
306,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,인천광역시노인인력개발센터,시,석정로 229,032-886-1855
307,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,중구노인인력개발센터,중구,우현로20번길 43(답동),032-762-2288
308,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,동구노인인력개발센터,동구,샛골로 120,032-214-5700
309,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,미추홀노인인력개발센터,미추홀구,독정이로87,032-888-8260
310,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,미추홀시니어클럽,미추홀구,숙골로43번길14-21,032-435-1982
311,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,연수구노인인력개발센터,연수구,"청능대로 109, 탑피온 4층",032-818-2111
312,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,남동구노인인력개발센터,남동구,소래로 645 ,032-466-8836
313,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,남동구시니어클럽,남동구,문화서로62번길13,032-267-6080
314,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,부평구노인인력개발센터,부평구,장제로235,032-528-6080
315,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,계양구노인인력개발센터,계양구,장제로 799,032-546-9663
316,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,계양시니어클럽,계양구,계양산로102번길 5,032-555-6330
317,노인 일자리 및 사회활동 지원에 관한 법률,노인일자리지원기관,이용,서구노인인력개발센터,서구,승학로263,032-569-1362
318,성매매방지및피해자보호등에관한법률,성매매피해지원기관,이용,희희낙낙상담소,미추홀구,"경인로336-1,3층(주안동, 청운빌딩)",032-507-0182
319,성매매방지및피해자보호등에관한법률,성매매피해지원기관,이용,성착취 피해아동청소년 지원센터 '잇다',미추홀구,"경인로336-1,3층(주안동, 청운빌딩)",032-874-8297
320,성매매방지및피해자보호등에관한법률,성매매피해지원기관,생활,나무그늘,미추홀구,비공개, 
321,성매매방지및피해자보호등에관한법률,성매매피해지원기관,이용,달빛공방,미추홀구,"경인로336-1,3층(주안동, 청운빌딩)",032-519-8297
322,성폭력방지및피해자보호등에관한 법률,성폭력피해자보호시설,생활,푸른희망담쟁이,중구,비공개, 
323,성폭력방지및피해자보호등에관한 법률,성폭력피해상담소,이용,인구보건복지협회인천지회부설성폭력상담소,남동구,남동구 용천로 142,032-451-4093~4
324,성폭력방지및피해자보호등에관한 법률,성폭력피해상담소,이용,인천지적발달장애인복지협회장애인성폭력상담소,남동구,"남동구 용천로 208, 사회복지회관 707호",032-424-1366
325,성폭력방지및피해자보호등에관한 법률,성폭력피해상담소,이용,오내친구장애인성폭력상담소,부평구,"부평대로 137-10, 107/101",032-506-5479
326,성폭력방지및피해자보호등에관한 법률,성폭력피해자보호시설,생활,소소,남동구,비공개, 
327,가정폭력방지및피해자보호등에관한 법률,폭력피해이주여성상담소,이용,살러온,남동구,남동구 예술로 352번길8,032-446-0091
328,가정폭력방지및피해자보호등에관한 법률,폭력피해이주여성보호시설,생활,울랄라,남동구,비공개,
329,가정·성폭력방지및피해자보호등에관한 법률,폭력피해여성 공동생활시설,생활,초록담쟁이,중구,비공개,
330,가정·성폭력방지및피해자보호등에관한 법률,폭력피해여성 공동생활시설,생활,하늘담쟁이,중구,비공개,
331,가정폭력방지및피해자보호등에관한 법률,폭력피해이주여성그룹홈,생활,언니네,남동구,비공개,
332,가정폭력방지및피해자보호등에관한 법률,가정폭력피해자보호시설,생활,내일을여는집 내일여성쉼터,계양구,비공개,
333,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,인천행복한가정폭력·성폭력 통합상담소,중구,우현로39번길2,032-761-7070
334,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,내일을여는집 가족상담소,계양구,계양산로102번길5,032-543-7179
335,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,(사)인천시여성단체협의회부설 가정.성폭력통합상담소,미추홀구,경인로 345(주안동),032-865-1365
336,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,인천가정상담센터부설가정폭력상담소,미추홀구,"학익소로 29, 508호(학익동, 석목법조타운)",032-865-1120
337,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,미추홀구가족상담소,미추홀구,인하로 195,032-437-1141
338,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,가족사랑상담소,미추홀구,매소홀로 586(문학동),032-874-6661
339,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,서인천가정폭력·성폭력 통합상담소,서구,경명대로676,032-564-1366
340,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,인천우리가정폭력·성폭력 통합상담소,연수구,"샘말로 15-2, 2층(연수동)",032-834-1369
341,가정폭력방지및피해자보호등에관한 법률,여성긴급전화1366센터,이용,여성긴급전화1366인천센터,부평구,"부평구 백범로577번길 20, 503호",032-862-7368
342,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,인천동구가정폭력상담소,동구,동구 화평로 2,032-773-3288
343,가정폭력방지및피해자보호등에관한 법률,가정폭력상담소,이용,부평구가족심리상담센터,부평구,부평구 부평대로167번길 54,032-505-1366
344,아동복지법 제4조 및 제59조,아동양육시설,생활,계명원,강화군,강화남로 518번길 6-41,032-937-1755
345,아동복지법 제4조 및 제59조,아동양육시설,생활,디차힐,중구,마장포로 29번길4,032-746-0648
346,아동복지법 제4조 및 제59조,아동양육시설,생활,보라매보육원,동구,화도진로 126,032-772-4450
347,아동복지법 제4조 및 제59조,아동양육시설,생활,인천보육원,미추홀구,매소홀로 446번길 50,032-875-2443
348,아동복지법 제4조 및 제59조,아동양육시설,생활,향진원,미추홀구,석정로 329번길 32,032-875-5607
349,아동복지법 제4조 및 제59조,아동양육시설,생활,해성보육원,미추홀구,인하로 91번길 15,032-875-3240
350,아동복지법 제4조 및 제59조,아동양육시설,생활,신명보육원,부평구,경인로 749,032-522-3944
351,아동복지법 제4조 및 제59조,아동양육시설,생활,파인트리홈,부평구,일신로 29,032-515-8808
352,아동복지법 제4조 및 제59조,아동양육시설,생활,해피홈보육원,부평구,경인로 898,032-518-2080
353,아동복지법 제4조 및 제59조,아동일시보호시설,생활,인천보라매아동센터,중구,백운로 528번길 57,032-747-1102
354,아동복지법 제4조 및 제59조,공동생활가정,생활,너랑나랑의집,중구,참외전로 84(전동),032-777-3860
355,아동복지법 제4조 및 제59조,공동생활가정,생활,세리아,중구,영종순환로169번길 64-1(중산동),032-752-5516
356,아동복지법 제4조 및 제59조,공동생활가정,생활,미추홀구신나는,미추홀구,학익소로61번길132 (학익동),032-875-4242
357,아동복지법 제4조 및 제59조,공동생활가정,생활,스위트홈,미추홀구,인주대로 326-1(주안동),032-872-7914
358,아동복지법 제4조 및 제59조,공동생활가정,생활,다올의집,미추홀구,인주대로35번길 12-16(숭의동),070-8238-5579
359,아동복지법 제4조 및 제59조,공동생활가정,생활,남동아동,남동구,독곡로16번길 22-7(서창동),032-461-1584
360,아동복지법 제4조 및 제59조,공동생활가정,생활,희망아동,남동구,석산로240번길 12,032-421-3649
361,아동복지법 제4조 및 제59조,공동생활가정,생활,시정의집,부평구,마장로269번길 91-61(산곡동),032-513-8395
362,아동복지법 제4조 및 제59조,공동생활가정,생활,엘피스,부평구,부흥로386번길 35(부개동),032-504-9546
363,아동복지법 제4조 및 제59조,공동생활가정,생활,행복한집,서구,완정로 208(금곡동),032-565-7291
364,아동복지법 제4조 및 제59조,공동생활가정,생활,꿈이있는집,서구,가현로 168(마전동),032-561-8294
365,아동복지법 제4조 및 제59조,공동생활가정,생활,SY엔터테인먼트,서구,완정로34번길 47(마전동),070-8259-4375
366,아동복지법 제4조 및 제59조,공동생활가정,생활,예람공동생활가정,서구,"고산후로161번길 28, 2층(원당동)",070-4681-0534
367,아동복지법 제4조 및 제59조,공동생활가정,생활,아너클래스,서구,완정로64번길 7(마전동),032-564-5687
368,아동복지법 제4조 및 제59조,공동생활가정,생활,프렌즈,서구,서곶로 818(당하동),070-8845-7179
369,아동복지법 제4조 및 제59조,공동생활가정,생활,해피드림,연수구,청룡로42번길 24(옥련동),032-212-5455
370,아동복지법 제4조 및 제59조,공동생활가정,생활,계양아동청소년그룹홈,계양구,아나지로 199번길(효성동),032-575-1625
371,아동복지법 제4조 및 제59조,공동생활가정,생활,온유,서구,서구 서달로 163번길 6(가정동),032-710-7154
372,아동복지법 제48조 및 제59조,가정위탁지원센터,이용,인천가정위탁지원센터,부평구,"부흥로294번길 4, 8층(부평동)",032-866-1226
373,"아동복지법 제38조, 제39조의2 및 제40조",자립지원전담기관,이용,인천광역시자립지원전담기관,남동구,"용천로 208, 601호",032-204-4279
374,아동복지법,아동상담소,이용,솔샘나우리아동복지종합센터,미추홀구,인하로 91번길 15,032-872-2731
375,아동복지법,아동상담소,이용,푸른마을아동복지종합센터,미추홀구,매소홀로 446번길 50,032-876-2430
376,아동복지법,아동상담소,이용,누리마루아동복지종합센터,미추홀구,석정로 329번길 32,032-876-5607
377,아동복지법,아동상담소,이용,남동구아동복지종합센터,남동구,"용천로 208,2층",032-421-6100
378,아동복지법,지역아동센터,이용,구립 연안,중구,"축항대로86번길 38, 3층(항동7가)",032-881-9790
379,아동복지법,지역아동센터,이용,구립 월디,중구,"참외전로72번길 25, 3층(전동)",032-773-0984
380,아동복지법,지역아동센터,이용,그루터기,중구,"참외전로 13번길 2, 송월아파트상가 제121-1호",032-761-0964
381,아동복지법,지역아동센터,이용,금창,동구,금곡로 44(금창동),032-777-8991
382,아동복지법,지역아동센터,이용,모리아,동구,"화수로3-7, 2층(송현동)",032-772-7142
383,아동복지법,지역아동센터,이용,민들레공부방,동구,"화수로38, 7-105(송현동, 동부아파트)",032-762-8664
384,아동복지법,지역아동센터,이용,솔숲,동구,"샛골로194번길 4-8, 2층(송림동)",032-763-0186
385,아동복지법,지역아동센터,이용,송현샘,동구,"송림로 112-1, 3층(송림동)",032-772-9037
386,아동복지법,지역아동센터,이용,푸른나무교실,동구,"솔빛로 91번길 7, 2층(송림동)",032-773-9708
387,아동복지법,지역아동센터,이용,해와달,동구,"화수로 67-1, 2층(화수동)",032-765-0186
388,아동복지법,지역아동센터,이용,꿈과씨앗,미추홀구,인하로 298번길 9(주안동),032-428-1848
389,아동복지법,지역아동센터,이용,꿈나무,미추홀구,경인로 252번길 12(도화동),032-875-0261
390,아동복지법,지역아동센터,이용,함께걷기꿈동산,미추홀구,독배로 382번길 10(용현동),032-882-3835
391,아동복지법,지역아동센터,이용,꿈이있는,미추홀구,용오로 84(용현동),032-886-5052
392,아동복지법,지역아동센터,이용,남구,미추홀구,주안중로38번길 13(주안동),032-441-9708
393,아동복지법,지역아동센터,이용,다솜,미추홀구,인하로 430번길 30(관교동),032-421-0257
394,아동복지법,지역아동센터,이용,드림,미추홀구,미추홀대로 633(주안동),032-873-2888
395,아동복지법,지역아동센터,이용,또래모아,미추홀구,연송로 50(도화동),032-710-3992
396,아동복지법,지역아동센터,이용,반디,미추홀구,"인하로 370, 3층(주안동)",032-438-0557
397,아동복지법,지역아동센터,이용,예향꿈터,미추홀구,소성로 99(학익동),032-866-9148
398,아동복지법,지역아동센터,이용,옹기종기,미추홀구,동주길135번길 8(주안동),032-423-2260
399,아동복지법,지역아동센터,이용,행복한꿈나무,미추홀구,"한나루로516번길 52, 3층(주안동)",032-874-4762
400,아동복지법,지역아동센터,이용,희망남구,미추홀구,숙골로38번길 1(도화동),032-867-7779
401,아동복지법,지역아동센터,이용,지킴이문학,미추홀구,"소성로318번길 18-12, 3층",032-433-0557
402,아동복지법,지역아동센터,이용,가온누리,연수구,새말로 146(연수동 578-3),032-822-3004
403,아동복지법,지역아동센터,이용,꿈쟁이,연수구,"함박로 4번길 4, 3층 302호(연수동 491)",032-822-5557
404,아동복지법,지역아동센터,이용,돌봄과 배움의 공동체늘푸른교실,연수구,"계림로 112번길 25, 2층(청학동 552-4)",032-834-1172
405,아동복지법,지역아동센터,이용,렘넌트,연수구,샘말로 95-6(연수동 614-7),032-817-8512
406,아동복지법,지역아동센터,이용,새생명,연수구,"먼우금로 282, 302호(연수동 576)",032-821-0092
407,아동복지법,지역아동센터,이용,선학동,연수구,"선학로 37, 202호, 205호(선학동 340)",032-822-0931
408,아동복지법,지역아동센터,이용,솔로몬,연수구,넘말로55번길 19(선학동 391-3),032-812-6445
409,아동복지법,지역아동센터,이용,쉐마,연수구,경원대로 467번길 26-5 선학동 403-17),032-822-2005
410,아동복지법,지역아동센터,이용,위즈키즈,연수구,"먼우금로 302, 101-102(연수동 534)",032-822-5077
411,아동복지법,지역아동센터,이용,참조은아이,연수구,"새말로 47, 2층(연수동 551-8) ",032-815-6622
412,아동복지법,지역아동센터,이용,청담,연수구,"용담로 54, 2층(청학동 469-1)",070-8805-8005
413,아동복지법,지역아동센터,이용,청어람,연수구,독배로 82번길 47(옥련동 159-1),032-833-4852
414,아동복지법,지역아동센터,이용,청학동,연수구,솔샘로 73(청학동 566-18),032-833-4504
415,아동복지법,지역아동센터,이용,연수,연수구,"한나루로158번길 5, 403호",032-831-3565
416,아동복지법,지역아동센터,이용,MS,남동구,"석산로 35, 2층 210호 (간석동, 간석마을풍림아이원아파트 상가)",032-422-0685
417,아동복지법,지역아동센터,이용,가온,남동구,구월남로 68 (구월동),032-428-4348
418,아동복지법,지역아동센터,이용,간석,남동구,용천로168번길 5 (간석동),032-434-3004
419,아동복지법,지역아동센터,이용,고려대,남동구,"구월로 343, 2층 (만수동)",032-466-6686
420,아동복지법,지역아동센터,이용,광성,남동구,구월말로27번길 1 (구월동),032-465-9712
421,아동복지법,지역아동센터,이용,구월3,남동구,"문화서로23번길 13, 4층 (구월동)",032-201-5779
422,아동복지법,지역아동센터,이용,구월,남동구,"용천로 20, 3층 (구월동)",032-472-8300
423,아동복지법,지역아동센터,이용,꿈나무,남동구,"남촌로 120, 2층 (남촌동)",032-462-3522
424,아동복지법,지역아동센터,이용,나래,남동구,"백범로247번길 54, 2층 (구월동)",032-205-4240
425,아동복지법,지역아동센터,이용,남동,남동구,"석산로 194, 2층 (간석동)",032-424-8991
426,아동복지법,지역아동센터,이용,남촌,남동구,"남촌로93번길 34, 3층(남촌동)",032-471-0700
427,아동복지법,지역아동센터,이용,논현,남동구,"장도로 10-3, 10동 1층 101호 (논현동, 성화빌라)",032-422-9882
428,아동복지법,지역아동센터,이용,드림애,남동구,"만경로 31-1, 3층 (만수동)",032-464-0302
429,아동복지법,지역아동센터,이용,등대마을,남동구,"청능대로715번길 22, 2층 (논현동, 논현주공14단지 관리동)",032-429-2655 
430,아동복지법,지역아동센터,이용,만수사랑,남동구,"만수서로 97-17, 2층 (만수동)",032-467-7301
431,아동복지법,지역아동센터,이용,만수행복,남동구,"인수북로4번길 20, 1층 (만수동)",032-471-7959
432,아동복지법,지역아동센터,이용,베스트,남동구,"구월말로27번길 90, 2층 (구월동)",032-469-8607
433,아동복지법,지역아동센터,이용,아이사랑,남동구,"용천로 91, 2층 (구월동)",032-467-5685
434,아동복지법,지역아동센터,이용,산돌,남동구,"백범로 67, 4층 (만수동)",032-467-3057
435,아동복지법,지역아동센터,이용,서창,남동구,"매소홀로1108, 202호 (서창동)",032-465-4610 
436,아동복지법,지역아동센터,이용,선향,남동구,"복개동로38번길 21, 2층 (만수동)",032-464-0972
437,아동복지법,지역아동센터,이용,아이원,남동구,"주안로259번길 23, 1층(간석동)",032-432-4344
438,아동복지법,지역아동센터,이용,엘림,남동구,"인주대로850번길 31-3, 3층",032-468-5791
439,아동복지법,지역아동센터,이용,영문,남동구,"구월로336번길 53, 2층(만수동)",032-466-9789
440,아동복지법,지역아동센터,이용,예꿈마을,남동구,"담방서로17번길 21, 201호 (만수동, 이삭아파트 상가)",032-469-0644
441,아동복지법,지역아동센터,이용,예사랑,남동구,"앵고개로815번길22, 1층(논현동,소래휴먼시아3단지아파트 관리사무소동)",032-431-1532
442,아동복지법,지역아동센터,이용,우리동네,남동구,"석정로461번길 10, 103호 (간석동,상가)",032-203-2911
443,아동복지법,지역아동센터,이용,웃음꽃,남동구,"남동대로726번길 15-20, 3층 (구월동)",032-464-7975
444,아동복지법,지역아동센터,이용,으라차차,남동구,"문화로169번길 92, 2층(간석동)",032-201-9477
445,아동복지법,지역아동센터,이용,남동구 구립,남동구,모래내로 14-5 (구월동),032-466-6601
446,아동복지법,지역아동센터,이용,장미원,남동구,인수로32번길 22-2 (만수동),070-4239-4954
447,아동복지법,지역아동센터,이용,충헌,남동구,"서창남로2, 2층(서창12단지LH아파트내 주민복지동)",032-463-8674
448,아동복지법,지역아동센터,이용,큰사랑행복한홈스쿨,남동구,"백범로124번길 162, 3층 (만수동)",032-464-9925
449,아동복지법,지역아동센터,이용,하늘둥지,남동구,"청능대로715번길 59 (논현동, 주공아파트 주민복지관)",032-423-8977
450,아동복지법,지역아동센터,이용,하늘마을,남동구,"논현로 45, 2층 (논현동, 논현휴먼시아 하늘마을)",032-432-6382
451,아동복지법,지역아동센터,이용,한빛,남동구,"구월로137번길 40, 3층 (간석동)",032-439-3220
452,아동복지법,지역아동센터,이용,해피아이,남동구,만수서로37번길 32 (만수동),032-428-5370
453,아동복지법,지역아동센터,이용,행복한,남동구,남동대로898번길 25 (간석동),032-422-8291
454,아동복지법,지역아동센터,이용,희망온새미로,남동구,"석산로208번길27-9, 2층(구월동)",032-423-1306
455,아동복지법,지역아동센터,이용,희망,남동구,"소래로 669번길 30, 302호(만수동)",032-462-4203
456,아동복지법,지역아동센터,이용,온새미로,남동구,"백범로226번길 35, 2층(만수동)",032-422-9634
457,아동복지법,지역아동센터,이용,올리브나무,남동구,"만수로 11, 2층 (만수동)",032-213-2201
458,아동복지법,지역아동센터,이용,갈산동도토리학교,부평구,평천로 355(갈산동),032-527-0933
459,아동복지법,지역아동센터,이용,경인비젼스쿨,부평구,마장로 14(십정동),070-8288-4347
460,아동복지법,지역아동센터,이용,고토,부평구,"부흥로 380, 2층 (부개동)",032-330-1135
461,아동복지법,지역아동센터,이용,나라찬예꿈,부평구,"경인로 918, 3층(부평동)",032-426-6016
462,아동복지법,지역아동센터,이용,나라찬한사랑,부평구,"길주남로 78, 2층 (부평동)",032-511-9065
463,아동복지법,지역아동센터,이용,나라찬한우리,부평구,"영성로 38, 2층 (삼산동)",032-528-6500
464,아동복지법,지역아동센터,이용,너른들부평,부평구,"장제로159번길34, 2층(부평동)",032-521-4458
465,아동복지법,지역아동센터,이용,누리,부평구,"마장로450번길 18, 4층(청천동)",032-514-1388
466,아동복지법,지역아동센터,이용,다드림,부평구,항동로45번길 8(일신동),032-511-8291
467,아동복지법,지역아동센터,이용,무지개,부평구,"부평문화로127, 4층 (부평동)",032-330-1641
468,아동복지법,지역아동센터,이용,사랑의,부평구,"원길로 11번길 45, 2층(산곡동)",032-512-9090
469,아동복지법,지역아동센터,이용,산곡,부평구,"원적로298, 4층(산곡동)",032-523-3790
470,아동복지법,지역아동센터,이용,삼산해오름 공부방,부평구,"부평북로 448, 3층(삼산동)",032-523-7035
471,아동복지법,지역아동센터,이용,새빛행복한홈스쿨,부평구,"주부토로 146, 3층 (갈산동)",032-525-2710
472,아동복지법,지역아동센터,이용,생명,부평구,"부흥북로58번길 16, 2층 (부평동)",032-512-9063
473,아동복지법,지역아동센터,이용,생명샘,부평구,"수변로10번길 5, 3층",032-517-2077
474,아동복지법,지역아동센터,이용,서로사랑,부평구,"주부토로219번길 36, 2층 (갈산동, 정광상가)",032-522-3312
475,아동복지법,지역아동센터,이용,십정동,부평구,"배곶로 71, 2층 (십정동)",070-7681-5843
476,아동복지법,지역아동센터,이용,에덴마을,부평구,일신로40번길 21-2(일신동),032-502-3258
477,아동복지법,지역아동센터,이용,엘림,부평구,"경원대로1130번길 29, 3층 (십정동)",032-528-1270
478,아동복지법,지역아동센터,이용,오순도순공부방,부평구,"마장로364번길 7-1, 3층(청천동)",032-507-2340
479,아동복지법,지역아동센터,이용,인천부평사랑회 ,부평구,"항동로 27, 3층 (부개동)",032-518-3360
480,아동복지법,지역아동센터,이용,인천행복한돌봄 동암,부평구,백범로406번길 64(십정동),032-429-8485
481,아동복지법,지역아동센터,이용,인천행복한돌봄 믿음,부평구,남부역로5번길 38(부평동),032-526-4425
482,아동복지법,지역아동센터,이용,제일,부평구,부평문화로197번길 40 (부개동),032-508-1255
483,아동복지법,지역아동센터,이용,카리타스(구 갈산복지관),부평구,"주부토로 206, 2층(갈산동, 갈산종합사회복지관)",032-527-7581
484,아동복지법,지역아동센터,이용,함께걷기다정,부평구,"화랑남로5번길 20, 2층 (산곡동)",032-504-5477
485,아동복지법,지역아동센터,이용,함께걷기보아스,부평구,"마장로72번길 8, 2층 (십정동)",032-503-7598
486,아동복지법,지역아동센터,이용,함께걷기소망,부평구,"마장로 412, 2층(청천동)",032-519-2525
487,아동복지법,지역아동센터,이용,함께걷기참사랑,부평구,부흥로 315번길 18-5,032-522-7523
488,아동복지법,지역아동센터,이용,함께걷기큰사랑,부평구,"평천로 145, 2층(청천동)",032-512-3770
489,아동복지법,지역아동센터,이용,해님공부방,부평구,"배곶북로 14, 2층(십정동)",032-437-6049
490,아동복지법,지역아동센터,이용,햇살 공부방,부평구,"세월천로 11-8, 3층(청천동)",032-504-6308
491,아동복지법,지역아동센터,이용,인천행복한돌봄계양,계양구,"봉오대로 698번길 11, 2~3층 (작전1동 870-62)",032-541-1090
492,아동복지법,지역아동센터,이용,함께걷기키파,계양구,"계산로 3, 2층(계산동)",032-554-9111
493,아동복지법,지역아동센터,이용,계양 푸른솔,계양구,"아나지로 517, 2층 (작전서운동 130-6)",032-552-9012
